model_name,count,mean,std,min,max,median
yolov5l,31,0.7638,0.1305,0.5075,0.9581,0.7976
yolov5m,1790,0.7491,0.1343,0.0,0.9707,0.7579
yolov5n,7107,0.6697,0.1646,0.0,0.9516,0.6659
yolov5s,1072,0.7245,0.1269,0.0,0.9682,0.7171
