time_bin,yolov5l,yolov5m,yolov5n,yolov5s
0,0.0,86.2,0.0,13.8
1,0.6,99.4,0.0,0.0
2,0.8,99.2,0.0,0.0
3,0.0,71.6,0.0,28.4
4,1.0,0.0,0.0,99.0
5,1.0,0.0,25.8,73.2
6,0.4,0.0,99.6,0.0
7,0.4,0.8,98.8,0.0
8,0.0,0.8,99.2,0.0
9,0.0,0.0,100.0,0.0
10,1.0,0.0,99.0,0.0
11,0.0,0.0,100.0,0.0
12,1.0,0.0,99.0,0.0
13,0.0,0.0,100.0,0.0
14,0.0,0.0,100.0,0.0
15,0.0,0.0,100.0,0.0
16,0.0,0.0,100.0,0.0
17,0.0,0.0,100.0,0.0
18,0.0,0.0,100.0,0.0
19,0.0,0.0,100.0,0.0
