model_name,count,mean,std,min,max,median
yolov5l,31,-446.1585,577.392,-1602.6208,0.6435,-151.5579
yolov5m,1790,-2.7779,24.4119,-437.7085,0.8645,0.2796
yolov5n,7107,-1512.2478,944.0108,-3151.9954,-80.0792,-1571.5366
yolov5s,1072,-34.4797,37.5597,-136.4375,0.7687,-18.0609
