model_name,count,mean,std,min,max,median
yolov5l,31,0.5435,0.466,0.3587,2.9693,0.4202
yolov5m,1790,0.3694,0.3606,0.127,4.0508,0.2261
yolov5n,7107,0.141,0.2415,0.0288,3.8983,0.0612
yolov5s,1072,0.1886,0.277,0.0593,3.8695,0.1073
