model_name,confidence_mean,confidence_median,confidence_std,confidence_min,confidence_max,cpu_mean,cpu_median,cpu_std,cpu_min,cpu_max,detection_boxes_mean,detection_boxes_median,detection_boxes_std,detection_boxes_min,detection_boxes_max,model_processing_time_mean,model_processing_time_median,model_processing_time_std,model_processing_time_min,model_processing_time_max,image_processing_time_mean,image_processing_time_median,image_processing_time_std,image_processing_time_min,image_processing_time_max,utility_mean,utility_median,utility_std,utility_min,utility_max
yolov5l,0.763823160189863,0.7976139560341835,0.13046153808776428,0.5074544889586312,0.9581118822097778,59.99032258064516,60.8,4.4832543863217404,38.0,64.0,6.483870967741935,5.0,5.778529038558374,1,30,0.5434836264579527,0.420177698135376,0.46596061933288235,0.3587098121643066,2.969285249710083,90.26273181361537,31.355148315429688,115.49372729351158,0.4841752052307129,321.58076429367065,-446.158488002096,-151.55793590117375,577.3919769162126,-1602.6207856096776,0.643524878554874
yolov5m,0.7490720470997345,0.7578703495008605,0.13426918294806695,0.0,0.9707229137420654,56.720055865921786,57.9,5.934092554106368,30.8,72.5,5.443575418994413,4.0,4.888688368224035,0,33,0.36939241726305233,0.22614884376525873,0.3605797005814529,0.1269559860229492,4.050790309906006,1.4032195002007084,0.8681032657623291,4.912809148916834,0.2143862247467041,88.61885404586792,-2.777889781765256,0.27961219223136574,24.41185154006867,-437.7084780537178,0.8645014564196268
yolov5n,0.6697085666700999,0.665897799389703,0.16463624849976216,0.0,0.9515976309776306,53.507387083157454,53.1,5.567497225484219,30.4,80.1,3.8811031377515124,3.0,3.1883930574327968,0,19,0.1410000652338996,0.0611927509307861,0.24153473902131328,0.0287756919860839,3.898258209228516,303.4552906256311,315.29201006889343,188.80269455713992,17.021512508392334,631.4251160621643,-1512.2478350995696,-1571.5366326867313,944.0108241383751,-3151.995382425003,-80.07916482984837
yolov5s,0.7245304536533899,0.7170611336827278,0.12691862639325677,0.0,0.9682053923606871,56.1723880597015,56.05,4.4388492345584565,7.7,73.3,4.865671641791045,3.0,4.107411342094108,0,29,0.18855296964965648,0.1073125600814819,0.2770312544589545,0.0593485832214355,3.869498014450073,7.913833069712369,4.650941252708435,7.530091366523786,0.1587004661560058,28.29475474357605,-34.479659177441384,-18.060866546252313,37.55974250833688,-136.43747673942508,0.7687051826053195
