model_name,count,mean,std,min,max,median
yolov5l,1436,0.7625,0.1293,0.0,0.969,0.7571
yolov5m,1754,0.7449,0.1421,0.0,0.9707,0.7579
yolov5n,1010,0.6684,0.1686,0.0,0.9516,0.666
yolov5s,5695,0.7252,0.1257,0.0,0.9682,0.717
yolov5x,105,0.7687,0.1175,0.4958,0.9624,0.7624
