model_name,count,mean,std,min,max,median
yolov5l,1436,59.9264,2.5438,10.3,75.8,59.5
yolov5m,1754,58.4902,2.7838,32.9,78.0,58.3
yolov5n,1010,54.8604,5.591,31.5,74.0,54.2
yolov5s,5695,55.8346,4.0071,32.2,77.5,55.7
yolov5x,105,61.4467,2.6589,43.2,67.4,61.3
