model_name,confidence,utility,model_processing_time,cpu
yolov5l,0.7625076796305391,-450.9948256599827,0.48394382913132566,59.92639275766017
yolov5m,0.7448632898780637,-2610.8741967454666,0.30178153800311897,58.49019384264538
yolov5n,0.6684303702552693,-1117.6484919081638,0.13624773025512693,54.86039603960396
yolov5s,0.7252209694692898,-2952.8087651584947,0.1802101913515782,55.83464442493415
yolov5x,0.7687470841488674,-656.5749406697755,0.7901803652445475,61.446666666666665
