timestamp,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time,image_processing_time,absolute_time_from_start,utility,source_file,elapsed_minutes,confidence_rolling_mean,confidence_rolling_std,utility_rolling_mean,utility_rolling_std,model_processing_time_rolling_mean,model_processing_time_rolling_std,cpu_rolling_mean,cpu_rolling_std
2025-10-19 22:44:47.745067,1,0.7182709674040476,yolov5l,10.3,6,2.806726455688477,9.550013542175291,2.8086726665496826,-42.53175399344746,exported-data-metrics_ADAMLS_baseline.csv,0.0,0.7182709674040476,,-42.53175399344746,,2.806726455688477,,10.3,
2025-10-19 22:44:49.955396,2,0.9022809565067292,yolov5m,32.9,2,2.184311628341675,11.538933753967283,5.018935680389404,-52.29233511871362,exported-data-metrics_ADAMLS_baseline.csv,0.03683881666666667,0.8102759619553884,0.13011471110056888,-47.412044556080545,6.901773101997125,2.4955190420150757,0.44011374512797785,21.6,15.980613254815971
2025-10-19 22:44:50.292010,3,0.4821515679359436,yolov5m,62.9,2,0.3100981712341308,8.215564489364624,5.355580568313599,-36.25627033270938,exported-data-metrics_ADAMLS_baseline.csv,0.04244905,0.7009011639489069,0.21060260762694324,-43.69345314829015,8.08090354787155,1.7670454184214275,1.2995658948819286,35.36666666666667,26.386612767335887
2025-10-19 22:44:50.944308,4,0.6578196853399276,yolov5m,61.5,10,0.5920231342315674,8.605527400970459,6.007885932922363,-37.86977929191339,exported-data-metrics_ADAMLS_baseline.csv,0.05332068333333333,0.690130794296662,0.17330024718956055,-42.237534684195964,7.211989720576209,1.4732898473739624,1.2128823873370966,41.9,25.197354358477135
2025-10-19 22:44:51.383188,5,0.5970433533191681,yolov5m,62.7,5,0.3916025161743164,8.763038635253906,6.446798801422119,-38.71811100779601,exported-data-metrics_ADAMLS_baseline.csv,0.06063535,0.6715133061011633,0.15574911264761598,-41.53364994891597,6.441029840023534,1.2569523811340333,1.156426504638303,46.06,23.721467070988673
2025-10-19 22:44:51.786940,6,0.8814250826835632,yolov5m,61.8,1,0.3667607307434082,8.879764556884766,6.850558757781982,-39.01735830295688,exported-data-metrics_ADAMLS_baseline.csv,0.06736455,0.7064986021982299,0.16355443904221123,-41.11426800792279,5.8519039290342185,1.108587106068929,1.0963262915641652,48.68333333333334,22.168844504544357
2025-10-19 22:44:52.043660,7,0.4453047854559762,yolov5m,59.1,7,0.233966588973999,8.854954242706299,7.107273578643799,-39.82168299033769,exported-data-metrics_ADAMLS_baseline.csv,0.07164321666666668,0.6691851998064794,0.17899089947541424,-40.92961300541064,5.3643264832168,0.9836413179125104,1.0539874751747431,50.17142857142857,20.616717673263306
2025-10-19 22:44:52.409929,8,0.736350804567337,yolov5m,55.7,2,0.3202781677246094,8.95867657661438,7.473543643951416,-39.55699228516148,exported-data-metrics_ADAMLS_baseline.csv,0.0777477,0.6775809004015866,0.16740616507043896,-40.75803541537949,4.99005537326415,0.9007209241390228,1.003592256585611,50.8625,19.18719345962673
2025-10-19 22:44:53.124571,9,0.898948093255361,yolov5m,59.7,3,0.6616911888122559,9.388430118560793,8.188186168670654,-41.54316055743994,exported-data-metrics_ADAMLS_baseline.csv,0.0896584,0.702177255163117,0.17310848361255363,-40.84527154227509,4.675100247720238,0.874162064658271,0.9421497213532671,51.84444444444445,18.188121887038744
2025-10-19 22:44:53.376625,10,0.7326578458150228,yolov5m,54.4,15,0.2155666351318359,9.363479137420654,8.440241813659668,-41.58469602393439,exported-data-metrics_ADAMLS_baseline.csv,0.0938593,0.7052253142283076,0.16349262183656352,-40.91921399044102,4.413924586748673,0.8083025217056274,0.9123560419401402,52.1,17.166957926331747
2025-10-19 22:44:53.552269,11,0.8728080689907074,yolov5m,60.8,6,0.1619632244110107,9.24988079071045,8.615885257720947,-40.87655463519884,exported-data-metrics_ADAMLS_baseline.csv,0.0967867,0.7204601101157985,0.16312554281461505,-40.91533586723719,4.187436288469286,0.7495444037697532,0.8872045272625914,52.89090909090908,16.49590582814139
2025-10-19 22:44:53.941583,12,0.9361441731452942,yolov5m,57.9,1,0.3529679775238037,9.35879373550415,9.005200147628784,-41.357782710448575,exported-data-metrics_ADAMLS_baseline.csv,0.10327526666666667,0.7384337820349232,0.1675335536659783,-40.952206437504806,3.9946062798540063,0.7164963682492574,0.8536278474831153,53.30833333333334,15.79455938165437
2025-10-19 22:44:54.180062,13,0.872920572757721,yolov5m,58.1,3,0.2135906219482422,9.311875820159912,9.243676662445068,-41.18641696870431,exported-data-metrics_ADAMLS_baseline.csv,0.10724991666666667,0.7487789197828307,0.16468095926848977,-40.97022263221246,3.8250959424996975,0.677811310841487,0.8291031687905036,53.676923076923075,15.180423459517076
2025-10-19 22:44:54.484686,14,0.8407039642333984,yolov5m,57.5,1,0.2704682350158691,9.35103964805603,9.548304080963137,-41.41445252089027,exported-data-metrics_ADAMLS_baseline.csv,0.11232698333333334,0.7553449943864426,0.16011641131581444,-41.001953338546585,3.676950577038449,0.6487153768539429,0.8039814927146606,53.949999999999996,14.62062557853433
2025-10-19 22:44:54.721654,15,0.7006250619888306,yolov5m,54.8,4,0.1983885765075683,9.305426120758057,9.78525447845459,-41.32646401471238,exported-data-metrics_ADAMLS_baseline.csv,0.11627645,0.7516969988932686,0.15493756811312784,-41.02358738362431,3.544188792920978,0.6186935901641846,0.7834126690380065,54.00666666666667,14.090496628511547
