model_name,count,mean,std,min,max,median
yolov5l,1436,-450.9948,181.2298,-1920.8912,-42.5318,-495.2818
yolov5m,1754,-2610.8742,1871.4515,-5692.7932,-36.2563,-2762.5737
yolov5n,1010,-1117.6485,285.3384,-1724.5752,-883.7303,-978.8401
yolov5s,5695,-2952.8088,1602.9898,-5693.0568,-510.4963,-2994.67
yolov5x,105,-656.5749,377.0051,-1926.0357,-87.8253,-550.2779
