model_name,count,mean,std,min,max,median
yolov5l,1436,0.4839,0.37,0.1994,4.1259,0.3764
yolov5m,1754,0.3018,0.2834,0.125,3.7474,0.214
yolov5n,1010,0.1362,0.2437,0.0347,3.7558,0.0612
yolov5s,5695,0.1802,0.2578,0.0538,3.8892,0.1038
yolov5x,105,0.7902,0.4723,0.5057,3.9051,0.6648
