model_name,confidence_mean,confidence_median,confidence_std,confidence_min,confidence_max,cpu_mean,cpu_median,cpu_std,cpu_min,cpu_max,detection_boxes_mean,detection_boxes_median,detection_boxes_std,detection_boxes_min,detection_boxes_max,model_processing_time_mean,model_processing_time_median,model_processing_time_std,model_processing_time_min,model_processing_time_max,image_processing_time_mean,image_processing_time_median,image_processing_time_std,image_processing_time_min,image_processing_time_max,utility_mean,utility_median,utility_std,utility_min,utility_max
yolov5l,0.7625076796305391,0.7570527451378959,0.12925383126399323,0.0,0.9690130949020386,59.92639275766017,59.5,2.543800240125352,10.3,75.8,5.804317548746518,4.0,5.024262612091429,0,30,0.48394382913132566,0.37639927864074707,0.3700181657347124,0.1993534564971923,4.125898599624634,91.24688442088767,100.10640215873718,36.246872524301445,9.550013542175291,385.2452065944672,-450.9948256599827,-495.2817741449703,181.22981111299927,-1920.8911835675297,-42.53175399344746
yolov5m,0.7448632898780637,0.7578703495008605,0.14206755299980353,0.0,0.9707229137420654,58.49019384264538,58.3,2.7837511713863363,32.9,78.0,5.604903078677309,4.0,5.412330781784914,0,33,0.30178153800311897,0.2140054702758789,0.2834258424716998,0.1250431537628173,3.747403144836426,523.2121863666935,553.57335460186,374.2913503217122,8.215564489364624,1139.6327645778656,-2610.8741967454666,-2762.5736673999636,1871.4514590119977,-5692.793233135721,-36.25627033270938
yolov5n,0.6684303702552693,0.6660434603691101,0.1685563831990712,0.0,0.9515976309776306,54.86039603960396,54.2,5.591024933172271,31.5,74.0,3.8623762376237623,3.0,3.1897181039685383,0,19,0.13624773025512693,0.0612235069274902,0.24369471762012718,0.034696340560913,3.755833625793457,224.53281530696566,196.75787115097046,57.074534914325525,177.81338810920715,345.9279291629791,-1117.6484919081638,-978.8400895819125,285.33840938284203,-1724.5752495640263,-883.730322410632
yolov5s,0.7252209694692898,0.7169793993234634,0.1257132928870949,0.0,0.9682053923606871,55.83464442493415,55.7,4.0070958017161,32.2,77.5,4.870939420544337,3.0,4.002855945543908,0,29,0.1802101913515782,0.1037969589233398,0.2577864987105418,0.0537803173065185,3.8891923427581783,591.6020348444227,600.0068147182465,320.59793818739263,103.12284517288208,1139.6296482086182,-2952.8087651584947,-2994.669962130984,1602.9897663229665,-5693.056752572522,-510.49627110721167
yolov5x,0.7687470841488674,0.7624176800251007,0.11751609700117337,0.495773047208786,0.9624331593513488,61.446666666666665,61.3,2.658877245216147,43.2,67.4,5.609523809523809,5.0,4.329006010655683,1,26,0.7901803652445475,0.6647739410400391,0.47233143941907696,0.5057387351989746,3.9051029682159424,132.36879645756312,111.1070156097412,75.39811658551288,18.636791467666622,386.2343349456787,-656.5749406697755,-550.2779151537011,377.005127277312,-1926.035674225477,-87.82534609358586
