model_name,count,mean,std,min,max,median
yolov5l,55,0.7829,0.1103,0.5297,0.957,0.7992
yolov5m,593,0.7524,0.1298,0.0,0.9707,0.7628
yolov5n,6915,0.6696,0.1656,0.0,0.9516,0.6663
yolov5s,2307,0.719,0.1296,0.0,0.9682,0.7118
yolov5x,129,0.777,0.1143,0.5431,0.9624,0.7814
