model_name,count,mean,std,min,max,median
yolov5l,55,0.5917,0.6998,0.2936,3.8545,0.3946
yolov5m,593,0.3262,0.2908,-0.1745,3.5578,0.2252
yolov5n,6915,0.1539,0.2026,-0.9102,3.8894,0.0763
yolov5s,2307,0.2195,0.2855,0.0547,3.952,0.1152
yolov5x,129,0.7835,0.4543,0.3912,3.6324,0.674
