model_name,count,mean,std,min,max,median
yolov5l,55,53.1873,3.2752,34.8,61.2,53.1
yolov5m,593,51.2717,5.026,26.4,66.3,51.9
yolov5n,6915,47.9977,5.9536,0.7,83.6,48.0
yolov5s,2307,48.2388,6.2516,20.1,70.5,49.0
yolov5x,129,54.2016,3.0757,34.2,60.8,54.1
