model_name,confidence_mean,confidence_median,confidence_std,confidence_min,confidence_max,cpu_mean,cpu_median,cpu_std,cpu_min,cpu_max,detection_boxes_mean,detection_boxes_median,detection_boxes_std,detection_boxes_min,detection_boxes_max,model_processing_time_mean,model_processing_time_median,model_processing_time_std,model_processing_time_min,model_processing_time_max,image_processing_time_mean,image_processing_time_median,image_processing_time_std,image_processing_time_min,image_processing_time_max,utility_mean,utility_median,utility_std,utility_min,utility_max
yolov5l,0.7828859513795107,0.7991834878921509,0.11027701932636444,0.5297042003699711,0.9570368528366088,53.18727272727273,53.1,3.2751621133444484,34.8,61.2,5.4,4.0,4.863316959838404,1,23,0.591728028384122,0.3945915699005127,0.6997887127054526,0.2936370372772217,3.854525804519653,5.321048264069991,3.141321420669556,3.786484894684825,1.250756025314331,14.32164716720581,-21.322333763750727,-10.486365141719638,18.92959915306244,-66.3267362714027,-1.1232608734616265
yolov5m,0.752392131645179,0.7628050645192465,0.12984163409438543,0.0,0.9707229137420654,51.2716694772344,51.9,5.025953595012475,26.4,66.3,5.249578414839798,4.0,4.449996658555476,0,30,0.3262410537790488,0.2252278327941894,0.29075731371781327,-0.1745014190673828,3.557840585708618,130.1303856758806,6.559895992279053,197.17417136428185,0.2153449058532714,590.6733772754669,-645.8155261514046,-27.656291274313364,985.6208929621697,-2948.246805698128,0.828589657942454
yolov5n,0.669630662085689,0.6662980914115906,0.16557499215588412,0.0,0.9515976309776306,47.997671728127266,48.0,5.953550952936227,0.7,83.6,3.8749096167751267,3.0,3.1972289857812184,0,19,0.1539360221537316,0.0762984752655029,0.20264397254331123,-0.9101543426513672,3.889371871948242,316.35803999590513,266.39244270324707,265.1585789050186,0.0665943622589111,792.293612241745,-1576.9420241329092,-1326.717956768905,1325.5728725937902,-3956.1935554770894,0.9066668748855592
yolov5s,0.7190087151950615,0.711768701672554,0.12957638224835272,0.0,0.9682053923606871,48.23879497182488,49.0,6.251551684225847,20.1,70.5,5.0156046814044215,4.0,4.22006514130068,0,29,0.2195459993359946,0.1152498722076416,0.28551194670731045,0.054692268371582,3.9519543647766113,253.50201385456296,14.21831727027893,296.64775123996156,0.1308684349060058,798.3279333114624,-1262.839055151494,-65.91048924634589,1482.7991104277094,-3986.4833815714064,0.871204243765937
yolov5x,0.7770090008651147,0.7814047899511125,0.114314034952891,0.5431223469121116,0.9624331593513488,54.201550387596896,54.1,3.075710906037721,34.2,60.8,5.488372093023256,5.0,4.421390263306906,1,31,0.7834701390229455,0.6740431785583496,0.45431340638012196,0.3911869525909424,3.632394790649414,203.62055382432862,44.64041304588318,218.12915531439813,1.3036468029022217,508.4574284553528,-1012.8247470190221,-218.00198765678093,1090.6578043957934,-2536.9505103932697,-1.1950769938003307
