,confidence,confidence,utility,utility,model_processing_time,model_processing_time
,mean,std,mean,std,mean,std
hour,,,,,,
6,0.7038,0.1569,-5.208,12.3638,0.2853,0.3674
7,0.6833,0.1578,-1847.3964,1282.259,0.1622,0.2037
