model_name,count,mean,std,min,max,median
yolov5l,55,-21.3223,18.9296,-66.3267,-1.1233,-10.4864
yolov5m,593,-645.8155,985.6209,-2948.2468,0.8286,-27.6563
yolov5n,6915,-1576.942,1325.5729,-3956.1936,0.9067,-1326.718
yolov5s,2307,-1262.8391,1482.7991,-3986.4834,0.8712,-65.9105
yolov5x,129,-1012.8247,1090.6578,-2536.9505,-1.1951,-218.002
