,total_inferences,duration_minutes,inference_rate,models_used,model_switches,confidence_mean,confidence_std,confidence_median,confidence_min,confidence_max,utility_mean,utility_std,utility_median,utility_min,utility_max,model_processing_time_mean,model_processing_time_std,model_processing_time_median,model_processing_time_min,model_processing_time_max,cpu_mean,cpu_std,cpu_median,cpu_min,cpu_max,detection_boxes_mean,detection_boxes_std,detection_boxes_median,detection_boxes_min,detection_boxes_max
ADAMLS,10000.0,46.99734938333334,212.77795729361492,5.0,865.0,0.7287417777316636,0.13618714575964339,0.7254355639219284,0.0,0.9707229137420654,-2324.1113173914487,1735.3227908773529,-1805.3933957016009,-5693.056752572522,-36.25627033270938,0.24711443419456483,0.30879674969925697,0.1321989297866821,0.034696340560913,4.125898599624634,56.848530000000004,4.207003176451459,57.2,10.3,78.0,5.0396,4.404994011031539,4.0,0.0,33.0
NAIVE,10000.0,38.604716333333336,259.0357072865078,4.0,36.0,0.6900832911915245,0.1591442064148302,0.6926138798395792,0.0,0.9707229137420654,-1080.3310894528286,1045.7288499385913,-782.080066674809,-3151.995382425003,0.8645014564196268,0.18822766664028168,0.2853878903756492,0.07982873916625975,0.0287756919860839,4.050790309906006,54.38823999999999,5.697648464252794,54.7,7.7,80.1,4.2744,3.716865096908262,3.0,0.0,33.0
POLARIS,9999.0,40.947483616666666,244.19082973709655,5.0,112.0,0.6879398496630272,0.1578457716570456,0.6879529170691967,0.0,0.9707229137420654,-1433.415294013782,1366.0195805758744,-1070.5110273925916,-3986.4833815714064,0.9066668748855592,0.1898223670414298,0.25519899438454274,0.096494436264038,-0.9101543426513672,3.9519543647766113,48.356055605560556,6.030401166668311,48.8,0.7,83.6,4.248824882488249,3.6119387577248365,3.0,0.0,31.0
