model_name,confidence_mean,confidence_median,confidence_std,confidence_min,confidence_max,cpu_mean,cpu_median,cpu_std,cpu_min,cpu_max,detection_boxes_mean,detection_boxes_median,detection_boxes_std,detection_boxes_min,detection_boxes_max,model_processing_time_mean,model_processing_time_median,model_processing_time_std,model_processing_time_min,model_processing_time_max,image_processing_time_mean,image_processing_time_median,image_processing_time_std,image_processing_time_min,image_processing_time_max,utility_mean,utility_median,utility_std,utility_min,utility_max
yolov5l,0.763270875979772,0.7585401032652174,0.1286229400183732,0.0,0.9690130949020386,59.6841655716163,59.5,2.9096281249150198,10.3,75.8,5.803547963206308,4.0,5.0328481055217225,0,30,0.4890514931760229,0.3784294128417969,0.388981665746439,0.1993534564971923,4.125898599624634,88.12176633977703,97.79502820968628,41.95687428275492,0.4841752052307129,385.2452065944672,-435.36938970618036,-483.6692506740781,209.77966982565985,-1920.8911835675297,0.643524878554874
yolov5m,0.7477635264250035,0.7590832312901815,0.13701410309378032,0.0,0.9707229137420654,56.68958182257674,57.6,5.264536405325395,26.4,78.0,5.4841672709693015,4.0,5.0598739327899525,0,33,0.3345415009546314,0.2211108207702636,0.3215222770886064,-0.1745014190673828,4.050790309906006,241.09094911731611,6.153188467025757,354.02686537873734,0.2143862247467041,1139.6327645778656,-1200.7286368887335,-25.39599788483697,1769.817476437288,-5692.793233135721,0.8645014564196268
yolov5n,0.6695868470998377,0.6660434603691101,0.16532347832497443,0.0,0.9515976309776306,51.063724055348594,50.9,6.416636910515739,0.7,83.6,3.8769957424161787,3.0,3.1923412808290106,0,19,0.14663153701224432,0.06741619110107415,0.22472752649497424,-0.9101543426513672,3.898258209228516,304.0879949779191,279.1607003211975,223.39749530446872,0.0665943622589111,792.293612241745,-1515.495239340005,-1390.6642949502566,1116.8699601438466,-3956.1935554770894,0.9066668748855592
yolov5s,0.7235599706192469,0.7168913245201111,0.12686235813329313,0.0,0.9682053923606871,53.94335463962971,54.3,5.782953856402137,7.7,77.5,4.9070972007934754,3.0,4.071534426579938,0,29,0.19119665458230212,0.1065338850021362,0.2678872711985703,0.0537803173065185,3.9519543647766113,436.68573544767423,410.5732649564743,363.58646053778,0.1308684349060058,1139.6296482086182,-2178.3753374972825,-2047.5668281548433,1817.7574337400574,-5693.056752572522,0.871204243765937
yolov5x,0.7733017305437216,0.7752110833923022,0.11558509523966436,0.495773047208786,0.9624331593513488,57.452564102564104,57.1,4.625263459165173,34.2,67.4,5.542735042735043,5.0,4.371224992845831,1,31,0.7864811379685361,0.6703605651855469,0.46149588420508986,0.3911869525909424,3.9051029682159424,171.6486114161646,107.3071254491806,173.02383299921317,1.3036468029022217,508.4574284553528,-852.9690646828217,-531.3323015262715,865.1294053303753,-2536.9505103932697,-1.1950769938003307
