approach,count,mean_confidence,median_model_time,mean_cpu
ADAMLS,10000,0.7287417777316636,0.1321989297866821,56.848530000000004
NAIVE,10000,0.6900832911915245,0.07982873916625975,54.38823999999999
POLARIS,9999,0.6879398496630272,0.096494436264038,48.356055605560556
