approach,yolov5l,yolov5m,yolov5n,yolov5s,yolov5x
ADAMLS,14.360000000000001,17.54,10.100000000000001,56.95,1.05
NAIVE,0.31,17.9,71.07,10.72,0.0
POLARIS,0.5500550055005501,5.93059305930593,69.15691569156915,23.072307230723073,1.2901290129012901
